,0,1,2,3,4,5,6,7
74,EIF3H,RPL32,RPS21,PLIN2,CKB,NDUFB11,SEP15,ARF1
75,BTG1,HSD17B11,CD82,CYTIP,COX5B,SDF4,CSF2RA,ACTN1
76,VPS29,HLA-DMA,PPAPDC1B,SNHG8,ADRBK1,CHMP2A,LGALS1,LY6G6F
77,HNRNPA1,ATP5G2,MBD4,SP140,FGL2,ARL6IP1,PPIA,FKBP1A
78,TPT1,METTL9,SYPL1,MSI2,C9orf78,CTSC,MRPL55,DYNLL1
79,HMGN1,MARCO,FAM26F,CLIC1,ANXA5,CDC42SE1,C1QBP,RP11-367G6.3
80,EIF4B,EIF4EBP1,CD19,CDC123,PARVG,PSMB8,FDFT1,DNAJB6
81,LAT,ASAH1,SYNGR2,MT-ND5,HAGH,SUN2,CYC1,TGFB1
82,CCM2,CARS2,SPIB,ANXA1,PLAC8,PPP2R5C,POMP,CD99
83,RPL35,PSAP,ARHGAP24,COX6C,COX8A,KLF6,SON,F13A1
84,NEDD8,GAPDH,CCNI,RGS14,EMP3,EPC1,PPA1,PKM
85,RPL39,GPSM3,SRSF5,ILF2,BLOC1S1,GCHFR,CCDC88A,PYCR2
86,TBCC,TPT1,EEF1B2,GHITM,NAPRT1,GSTP1,SNRPD1,HMGB1
87,TRAPPC1,SERPINB1,FCRL1,RPS24,CMTM7,CD96,ANXA2,GP1BA
88,GSTK1,SERPINA1,AL928768.3,CD2,SNHG15,JAK1,YIF1B,NDUFAF3
89,MATR3,RGS2,IFT57,RPL17,CSNK2B,ARHGDIB,ITM2C,RHEB
90,CYLD,REEP5,CD72,SIT1,NAAA,ARL4C,SUB1,TUBA1C
91,BAG1,TALDO1,RPL22L1,SVIP,GNAI3,MRPL20,RPS6KA4,C9orf16
92,SELL,FCGRT,BIRC3,SNRPA,HCLS1,PSMB10,WDR61,TPM1
93,CALM3,MT-ND1,SEC62,RBM25,CAPNS1,CAST,RGS10,TMEM91
94,RBM39,ALDH2,ATP6V1G1,RSU1,BATF3,FBXO6,DUSP2,MAP3K7CL
95,PPP1CA,CD36,CYB561A3,DUSP23,GIMAP2,HNRNPM,TRMT112,HIST1H2BK
96,KIAA1551,TKT,MZB1,YWHAB,C1QB,PRDX5,TMEM219,TALDO1
97,CD6,GPX4,ARL4A,SMAD2,FGR,CMC1,HMGN3,SAT1
98,CNOT7,NDUFS7,PLAC8,STOML2,PDCD2,BPGM,CYCS,SNCA
99,SLC38A2,MPEG1,COQ7,SPOCK2,UBE2L6,HLA-C,RNF5,MTPN
100,ANXA11,ATP6V1F,ENSA,CXCR4,MS4A4A,RCN2,GABARAP,CHMP6
101,USP33,BAG1,RPS23,WSB1,TESC,RARRES3,COX6C,PRDX5
102,RPL18,SAT2,SWAP70,ECH1,MYL6,CCDC12,SRGN,PPDPF
103,NDUFC2,TSPO,HLA-F,AHSA1,IFI30,BIN2,TGFBI,PLA2G12A
104,TRMT112,CHMP1B,TSC22D3,CD3G,SRGN,DDX17,PGLS,SRGN
105,CGGBP1,VIM,LSM7,C10orf54,PTPN6,VAMP2,CEBPD,PNMA1
106,RGS10,JUND,RASGRP2,NCOR1,CSTB,ZBP1,PLSCR1,MFSD1
107,STXBP3,RANBP1,EIF5B,ZNRD1,RAB8A,HLA-A,HMGN1,NENF
108,GBP1,YWHAE,GLTSCR2,CITED2,RBMS1,PRMT2,FCGRT,TLN1
109,RPS10,EVI2A,TUFM,NONO,PPP1CC,FAM49B,OS9,USF2
110,ANP32B,PGD,RPS5,KHDRBS1,HLA-F,LAT2,ATP5G3,VDAC3
111,LEF1,ZFP36,RPL10A,CTSC,ZNHIT3,ARL2BP,ZFP36,WDR1
112,DEDD2,FYB,RPSAP58,TRA2B,CASP4,B2M,ATP6V1E1,GLA
113,MRPS21,CLTB,ZNF331,FAM96B,NDUFA5,GIMAP7,CFP,HIST1H1C
114,FKBP5,UQCR11-1,GDI2,RARRES3,PRELID1,EMP3,DDAH2,RAB10
115,NEAT1,RPS16,LAT2,PPP2R5A,C10orf54,SCP2,BST2,ASAH1
116,TXK,EWSR1,GUCD1,TOR1A,GPBAR1,SLC25A3,DEK,ACTG1
117,APBA2,TMSB10,TMEM156,AKR7A2,MYO1G,DRG1,MPC2,RABGAP1L
118,TRADD,COA3,CMPK1,HLA-A,PAIP2,ENSA,CAPN2,ESAM
119,TINF2,APOBEC3B,CLIC1,PDIA6,UBE2D3,PSME2,CCDC50,CCND3
120,NDUFS5,RENBP,RPSA,ZRSR2,SNX5,CTDSP1,ADI1,TUBA1B
121,HINT1,SLC25A5,ANAPC16,PRELID1,TYROBP,TMX2,TCF25,RAB4A
122,CAMK4,RABAC1,ORAI2,STXBP2,MPC1,DCTN3,COA5,SNX3
123,TMSB4X,RPL13,SMARCB1,TMEM14C,ARL4A,ALOX5AP,MRPL23,HLA-C
124,C17orf89,NRG1,HNRNPDL,SYNE2,RFXANK,S1PR5,RAB7A,RNF11
125,PPP2R3C,NR4A1,TMEM243,CNPY3,ZMAT2,CX3CR1,TYROBP,RSU1
126,ATP1A1,RNF130,UQCRC2,NPM1,EVL,ORMDL3,CYTH4,RP11-879F14.2
127,GLOD4,OAZ1,RALGPS2,CD99,VAMP2,LINC00493,NDRG2,SCGB1C1
128,ITM2B,QPCT,LIMD2,ATP5A1,NCL,CCDC28B,PSMB5,HIST1H2BJ
129,EIF4G2,HLA-DRA,AIM2,PFN1,CYTIP,PDIA3,DCXR,TRAPPC1
130,RPS6,FAU,TMED2,FUS,RPL36AL,HLA-B,RPL23,GAS2L1
131,TRAPPC6A,SPINT2,LINC00936,MYO1F,LSP1,RAMP1,IFI44L,SNN
132,MT-ND4,HCST,EEF2,AC092580.4,OST4,BZW1,MS4A6A,UQCRH
133,PTGER4,NEDD8,ZCCHC7,PET117,MGST3,SERBP1,MAFG,RBX1
134,GALT,C20orf27,NOP58,GTF3A,RNH1,PLEK,HNRNPA2B1,PTGS1
135,RNF149,ODF3B,EIF3J,TBCA,LSM1,PLEKHF1,REL,SKP1
136,GIMAP5,PSMA5,TOMM7,IL7R,UBXN1,CD38,VAMP8,TPST2
137,TTC39C,MZT2B,RBBP7,SHFM1,WDR1,TXK,LCP1,EOGT
138,IFITM1,DNAJC7,TCF4,NDUFB3,NPC2,TMIGD2,CDKN1A,SLC40A1
139,C1orf162,TBXAS1,HSP90AB1,JAKMIP1,PSMA3,ATF6B,FOSB,TMEM219
140,ETHE1,H3F3B,WHSC1L1,NDUFS2,CDIP1,RTF1,MCL1,PRUNE
141,CD7,LY86,DRAM2,TC2N,OAZ1,RTFDC1,IRF7,RAB37
142,RGS1,LGALS9,C15orf57,ENO1,S100A11,TARDBP,C9orf142,SERF2
143,NEMF,RPS24,PLEKHF2,DNAJC7,NME3,EVL,ATP5J2,ARHGDIB
144,LEPROTL1,PARP14,DEGS1,MED10,ARPC3,NT5C,TMEM55B,WBP2
145,H2AFY,ITM2B,JUNB,UBC,ITGAL,MRPS6,UBL7,TUBA8
146,DARS,APRT,ANXA6,SMIM12,CYBB,MAF1,MRPL11,LMNA
147,SAMSN1,RPS11,COX4I1,PPP1R15A,SLC7A7,ARPC3,POP7,HLA-E
148,TRABD2A,PFDN5,CD55,AQP3,PGLS,CD244,AURKAIP1,SOD2
149,DDX5,EIF4A1,BLNK,DCK,PIK3IP1,SH3GLB1,IGFLR1,GAPDH
150,IK,FCGR2A,CAMLG,PTPN4,NDUFA1,SEPW1,CCT4,TUBB4B
151,UBXN4,RAB34,EHD1,TRAF3IP3,NACA,WDR83OS,HERPUD1,TPM3
152,NDFIP1,CTSB,PEBP1,ECHS1,RIN3,KLRF1,UFC1,PAIP2
153,COX7B,ARPC2,RP5-887A10.1,NT5DC1,RXRA,ARRDC2,SEC61B,LDLRAP1
154,RAC2,SEC61A1,MAP1LC3B,KTN1,MRPL23,LPCAT1,HINT1,ERV3-1
155,APH1A,IFNGR1,BCAS4,ERP44,MAP3K3,RNASEH2C,NDUFS3,HGD
156,ACTN4,PID1,RPL18,TNFAIP3,ADAR,GOLGA7,ATP5A1,CCDC85B
157,EDF1,IFI6,TPD52,GYG1,TNFRSF14,IFITM1,SRSF2,AATK
158,RBBP6,ZNF106,BTG1,RORA,TNFRSF1B,SEC62,CD302,GNAS
159,IL7R,CTSD,LCN8,CERK,SHISA5,PTPN6,SCNM1,ETFA
160,YWHAZ,SUMO1,CYB5A,LINC00116,EFHD2,CCND3,LY86,TMEM140
161,EIF4H,ZFP36L2,NOTCH2NL,NDUFA5,ADI1,SNF8,SPCS1,C6orf25
162,VPS26B,WDR83OS,ZNF92,PDCD10,RGS19,ZNF207,SPATS2L,CTNNAL1
163,COX20,TMEM230,ZFP36L1,STK17A,SLC31A2,YY1,TNFAIP2,DMTN
164,PIM2,RPL6,RPL37A,CDC42SE2,PHKG2,CMTM3,MAP3K11,RBBP6
165,ARHGDIB,IFIT2,SEPT7,RNF145,SRI,RER1,C12orf45,FTH1
166,LINC00176,XRN2,PRMT1,SNRPF,PANK2,S100B,CXCR4,ABCC3
167,ATP6V0E2,NEAT1,TAF1D,RPL4,GNAI2,SHARPIN,SSB,NFE2
168,PRPF19,GSTO1,GNB2L1,EIF2A,NUCB1,ADSS,MAP7D1,AGPAT1
169,TSC22D4,NMI,HMGN1,ABCE1,SPI1,ARPC2,BID,SNAP23
170,AMD1,ENTPD1,RPL17,RPL36A,EIF3G,JTB,NHP2,CYB5R1
171,SCML4,CLNS1A,UNC119,ATOX1,VAMP5,DEF6,HEBP2,ATF4
172,RP11-18H21.1,DUSP1,MED4,GLUD1,RAB2A,ATP5F1,C16orf13,ADIPOR1
173,BIN1,TOMM7,TNFRSF17,FKBP8,NDUFV2,MAP2K3,BHLHE40,ATP2A3
174,SEPT1,PNRC1,MRPL40,GLIPR1,ENY2,SRRM2,PQBP1,VAPA
175,RPL34,SIGIRR,TLR10,GIMAP1,C7orf50,GMFG,COX5B,FTL
176,RPL3,FBXL5,POU2F2,TMED10,S100A4,SLFN12L,EIF3E,MOB1A
177,CSNK1A1,NDUFB11,ATP1B3,KRT10,SIGLEC10,HNRNPA2B1,NDUFA8,GNB5
178,CD69,CDK5RAP3,PRKCB,EIF2S1,FRG1,RAC1,CFDP1,DAD1
179,EBPL,NANS,TNFRSF13B,SLBP,ATP5EP2,IFNG,BAZ1A,ICAM2
180,SH3BP5,CFP,C16orf74,TALDO1,MT-ND2,UBE2F,URM1,C9orf89
181,RILPL2,MRPL32,NBEAL1,C9orf16,GMFG,LYN,APH1A,BRK1
182,MOAP1,GGCT,ARAF,GUK1,GABARAP,TMEM59,EIF3H,SENCR
183,NDUFB9,DHPS,EIF3F,AP3S1,RHOB,HSP90AA1,OSTC,FXYD5
184,EEF1A1,FAM200B,SP140,HNRNPK,UBAP2L,IFT20,VPS29,EFTUD2
185,SPG20,DOK2,LYL1,CFL1,RASSF5,ARHGEF3,TMED10,DBNL
186,KDM6B,GRB2,TAPBP,SEPT7,PTPRC,UFC1,XAF1,RAB11A
187,SCGB3A1,TMEM173,RPLP0,S1PR4,SOD1,C19orf66,TPP1,EPB41
188,VPS35,STX10,SPCS2,MRPL55,SEC11A,PSMC4,SNRNP27,UBL4A
189,PTMA,SLC7A7,ADK,RPSA,SH2D3C,WAS,CACNA2D3,MZB1
190,BIRC3,TMEM14C,ATF6B,SSU72,MBD2,CTNNBIP1,ZNF385A,H1F0
191,ZNF146,PIEZO1,RPS18,FAM3C,NR4A2,ITGB1BP1,UQCRH,HSPB1
192,SEPT9,C19orf43,RPL12,CKLF,DBNL,EIF5,DNAJC15,MT-ND1
193,LSM2,SUPT4H1,COMMD6,SYTL1,SLC39A1,ANXA1,PPP1R14A,SMOX
194,PTRHD1,OAZ2,ATP6V0E1,MORF4L2,PNISR,TRIM22,PITHD1,UBL5
195,CD2,PKM,NACA,HDHD2,C7orf73,TBCB,FAM133B,XPNPEP1
196,NUP210,FOS,ARL6IP1,RBMX2,SH3BP1,NCR3,CHMP5,RNF10
197,RPS26,AP2S1,OAZ1,SURF1,LYSMD2,TADA3,SYK,GMPR
198,DRAP1,BUB3,RCSD1,DIAPH1,GPS1,NDUFAB1,HEXA,STX11
199,RPL5,EEF1D,AC079767.4,RTFDC1,MYEOV2,PPIA,FCER1G,COTL1
200,VPS28,F8A1,EZR,IER3IP1-1,GRPEL1,DBNL,C21orf2,LYL1
201,PRKCQ-AS1,ATP6V0B,LTA4H,ZC3HAV1,TPI1,PYHIN1,PTPRE,RHOA
202,ASF1A,CLTA,STRBP,WDR83,CXCL16,WBP2,C19orf70,LGALSL
203,SPCS1,UBL5,TSPAN3,H3F3B,GUK1,PPP1R18,IRF8,H2AFZ
204,TPP2,ISG15,MAF1,TLE4,G0S2,PSMA7,ARF3,GFI1B
205,NAP1L4,SAT1,FAU,NAA10,MAFB,ICAM2,NDUFS6,THAP11
206,CISH,DYNLT1,BECN1,RAB9A,RP11-1143G9.4,ISG15,LMO2,FHOD1
207,MRPS31,C1orf162,FCRL2,APBB1IP,PSMB3,SRSF4,COX8A,MTFR1L
208,FXYD5,PLIN3,S1PR4,IMP3,MRPS18C,HMGN1,EID1,NDUFA4
209,SRSF11,HPCAL1,RPL7A,C1QBP,CAMK1,TMEM9B,HSH2D,RBCK1
210,IDH3B,RPL13A,HMCES,PSMC5,C19orf53,FCRL6,STK32C,CAPZB
211,C14orf2,C1QBP,RPL5,TBC1D1,HLA-B,FDPS,ADRM1,PTMA
212,RPL13A,POLR2L,YBX3,TSEN54,DCTN3,MRPL23,BLVRB,HLA-A
213,HELZ,BUD31,DCK,ATP6V0B,ATP5C1,LGALS1,ATG3,SPOCD1
214,RPL14,RPL11,SP100,SND1,IRF2,SH2D2A,DRAP1,PACSIN2
215,ARHGAP30,CXCL10,CCDC91,BRIX1,KARS,OSTF1,SNRPE,SUPT4H1
216,NELL2,TRAPPC6A,SMDT1,MIR4435-1HG,CUX1,ARHGDIA,REPIN1,ABTB1
217,UBA52,SYF2,INO80E,UBE3A,CMTM6,KIAA1715,LILRA4,SEC14L5
218,LPAR6,PYURF,GPR18,ANP32A,CD52,MYH9,GZMB,GLUL
219,CD5,CTSH,CEP57,TCEB1,CHPT1,INPP5D,C10orf128,UBAC2
220,SNW1,CCDC23,BBX,SPNS1,POU2F2,DPM2,CTA-29F11.1,FAM212A
221,DGUOK,HNRNPD,IL4R,CORO1A,UFC1,PPP1R12A,RPS6KA1,HIST2H2BE
222,SNRPD3,RNF114,LBH,KDM2A,ATP5L,WASF2,SUMO3,CTDSPL
223,MPHOSPH8,CD48,RPL29,PARP1,CALM2,GYPC,TMEM109,PTBP1
224,TSG101,TMEM147,C1QBP,SNHG7,NAPA,GRHPR,CD86,RIOK3
225,CORO1B,C14orf166,FBXW5,RPL18A,GLRX,COPZ1,C14orf2,SH3BGRL
226,PSMD13,COA6,RPL15,SET,PRR13,CIAPIN1,RP11-489E7.4,SMIM5
227,THOC6,ATP5J,SNX10,CHCHD7,BCL2A1,UNC50,IL13RA1,HTATIP2
228,FBXL5,DHRS4,HHEX,TRAT1,NUP214,PPP3CC,OXA1L,VASP
229,CARS,COX14,KIAA0125,CDC37,LSM10,DSTN,PHB,SF3A1
230,YY1,MID1IP1,DOCK8,CLEC2B,IK,DUSP1,HLA-DOA,CD27-AS1
231,HMHA1,SF3B14,VAPA,SLC3A2,C4orf3,PHF20L1,TMEM205,ADI1
232,ADI1,CALHM2,YDJC,PSMA7,COPS6,ERBB2IP,RNF181,C16orf13
233,RPL13,GNG5,RP1-313I6.12,WTAP,MOB1A,SYF2,TRIM22,CD151
234,CMTM8,FAM204A,PABPC4,DENND2D,CARD16,TMBIM4-1,ERCC1,NDNL2
235,TNFSF10,SSR4,HNRNPK,ABHD14A,LAMTOR5,CHST2,DNAJC4,CARHSP1
236,RNF34,ST13,NT5C,ITSN2,MT-ND5,STAT6,LAMTOR2,MLH3
237,THRAP3,GABARAPL2,REL,IER2,PDCD5,MAD2L2,NDUFA10,RASGRP2
238,BABAM1,TMBIM4-1,CHCHD10,THEMIS,RNF213,ST6GALNAC6,CD1D,PSTPIP2
239,CCZ1,SLC11A1,RPS16,CAPZB,THRAP3,PDLIM2,IL6R,FAM110A
240,DYNLRB1,UBA52,RPS8,MMADHC,CTSB,SDHAF2,RASSF4,TAX1BP3
241,COQ10B,UBE2E1,ARF3,PRDX1,PFN1,PHPT1,ACYP2,TMEM50A
242,MARCKSL1,SPTLC2,SRP14,PSMD5-AS1,TPGS1,LPIN2,TRAPPC1,EXOSC7
243,PNN,ANAPC5,ITM2C,MAP2K2,APOBEC3A,BSG,SAMHD1,C19orf24
244,DDX39B,IFI27,KMT2A,LCMT1,ANAPC11,ZNF32,BZW2,LYPLAL1
245,LYPLA2,RPL17,CCT4,HNRNPH1,MRPL53,HNRNPF,PRCP,LINC00938
246,EMC4,COMTD1,NSA2,BSG,UQCC2,JUN,FCHO1,RAB32
247,DGKA,SERF2,MDM4,AP2S1,PRDX5,MAPK1,C19orf10,SQSTM1
248,YDJC,HNMT,FAM129C,PRR7,NFKBIZ,GZMH,ZBTB7A,DIAPH1
249,GIMAP2,XPA,CD180,LAG3,ATG4B,COX7A2L,BLNK,ENKUR
250,U2AF1L4,DHRS4L2,SP110,DBP,DUSP23,MAP1LC3B,LGMN,TMPO
251,RPL11,RAB10,GRAP,HMGA1,FAM133B,SPPL2A,RAC1,P4HB
252,DDT,MSRB1,SEC11C,ODF2L,AHNAK,MPST,PDCD6,SPINT2
253,DHX29,NDUFB9,RIC3,TSNAX,HLA-DRB1,MYL6,LINC00493,WBSCR22
254,RPS27A,FAM50A,RPL9,PEBP1,PTGES3,PTPN7,MTCH1,FAXDC2
255,RPL27A,RPA2,SMAP2,RPA3,CAPN2,TMEM243,PRDX3,GALNT10
256,OAS1,FXYD6,CSK,RPS27A,SEPT9,NSD1,CD164,FAM212B
257,MPHOSPH6,IL1RN,STK17A,KPNB1,C16orf87,FASLG,LARP7,MBNL1-AS1
258,RPL21,BNIP3L,ARID5B,MT-CO3,SERBP1,FLOT1,H2AFV,MMP24-AS1
259,UBE2E3,VPS26B,NHP2L1,APOBEC3G,ICAM2,RALY,PLK3,CCNDBP1
260,DOK2,C17orf62,RNASEH2B,TEX264,DERL1,RNF126,IMPA2,MPC2
261,RPL19,PAFAH1B2,SNX29P2,C15orf57,NAA38,RNF213,MX1,AMD1
262,SORL1,RGCC,RPL36,PRNP,ACP1,C15orf61,PLP2,EIF1B
263,TAX1BP1,KAT8,SIAH2,CLK3,FAM110A,RUNX3,MAGEF1,SNX6
264,RNF6,LAMTOR4,RP11-1143G9.4,RAB11A,DUSP11,NFU1,EPSTI1,SCFD2
265,HSPD1,ADSL,MDH1,SH2D2A,PRADC1,MYL12A,MTPN,KIAA0513
266,HCLS1,IQGAP1,LSM10,STARD7,CNIH4,MTDH,RAB22A,CFL1
267,SUV420H1,SMARCD3,CTD-2537I9.12,ATP5I,SFT2D1,EIF3L,SH3BP2,TPTEP1
268,TNFRSF4,TOP1,EIF5A,NCL,SAMM50,MPPE1,SNRPD2,DAB2
269,FASTK,GSTK1,JUN,ITGAL,TCIRG1,STX5,C17orf49,GATA2
270,PSIP1,RPLP1,ZFAS1,ZNF428,C11orf31,MSN,C6orf1,ALOX12
271,KIAA0922,LAMTOR1,ARF6,SSR3,MT-CO2,SQSTM1,UPK3A,FKBP8
272,RPL36,SNF8,SEP15,MRPL41,ACTR3,FAM104B,ACTG1,B2M
273,RAD21,IL17RA,RRAS2,SYNE1,SULT1A1,PSMD8,UBALD2,MPST
274,EEF1E1,SRRM1,PPHLN1,LETMD1,GRAMD1A,PIGC,PSMB10,ZNF524
275,PRPF40A,NDUFB1,CLNS1A,MGST3,EPOR,COX5A,CSDE1,GTF3C6
276,TOMM7,NQO2,CCDC50,ASB6,GIT2,NOC2L,ZNHIT1,ARL5A
277,MRPL1,NUP214,TNFAIP8,VKORC1,WDR61,TRABD,NUP210,TMBIM1
278,TBC1D4,MRPS6,ACTR3,POLR2K,SPG21,LNPEP,DNASE1L3,ITGB3
279,FBXL12,RPL23,TANK,REST,TKT,CD164,PPP1R14B,MAPK14
280,RPS15,NOP10,TBC1D22A,COA4,ADK,DDX39A,BASP1,RAB27B
281,RPLP1,ALKBH5,ANXA4,SRSF9,TBCB,CD53,HAVCR2,DAPP1
282,SREK1IP1,RPL7,ALOX5,MYH9,PAF1,USP28,FES,MCUR1
283,ADD3,LRCH4,TMEM154,G6PD,PHF19,UCP2,MAP4K1,VPS28
284,RSL1D1,CD300E,ADARB1,HLA-B,TPM3,TGFB1,SEMA4A,PVALB
285,FGFR1OP2,EMC7,FCGR2B,EIF2S3,DDX23,TCF25,IFNAR1,MKRN1
286,PCNA,HAUS4,SIGLEC10,MRP63,TCEB2,TSSC4,CCT8,RDH11
