,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
43,MALAT1,S100A11,SMIM14,SNRPB,UBB,SNHG15,EIF3K,PRDX6
44,RPS12,UBXN11,FCRLA,CD3E,CALM1,TYROBP,HNRNPC,PDLIM1
45,RPS25,PSAP,BLK,MMADHC,ABI3,C19orf38,ARF5,OST4
46,SREK1IP1,NCF1,SNX3,CCNI,EFHD2,HCK,CAPG,ITM2B
47,IK,RAC1,PKIG,COX6C,ANXA6,CD68,SULF2,MMD
48,RP11-291B21.2,ATP5G2,KLF2,ST3GAL1,KLRC1,LILRB2,KLF4,NCOA4
49,ARHGDIB,CDA,POU2AF1,PDIA6,HAVCR2,PPBP,LGALS2,ITGA2B
50,CD40LG,TKT,RPL18A,GZMM,SERF2,COX6B1,TPGS1,CMTM5
51,SOCS3,MPEG1,ISCU,TOB1,C1orf162,CYTIP,RNASET2,TSC22D1
52,HNRNPA1,AIF1,MARCH1,RBM25,NDUFB2,CD44,RPL39,CAPN1
53,ABRACL,HSD17B11,CD40,LINC00152,RHOC,LYL1,RPL22,CTSA
54,HINT1,SAT2,MEF2C,CD97,MATK,RHOG,GSN,MARCH2
55,RPLP2,CD63,TSPAN13,HSPA5,GPR56,COX8A,RNH1,YWHAH
56,MAL,UBE2D1,PNISR,HLA-A,CTSC,IFITM1,DDIT4,TIMP1
57,RPL24,GCA,STX7,RARRES3,LUC7L3,CSNK2B,CTSH,PTPN18
58,RPL30,CD99,ADAM28,SPOCK2,GSTP1,ADA,S100A10,GSTO1
59,SPCS1,BST1,PARP1,STK17A,XBP1,WARS,ID1,H2AFJ
60,RBM39,TALDO1,FAM65B,HLA-C,APOBEC3G,MS4A4A,LAMTOR1,NAP1L1
61,NEAT1,S100A12,CD22,FBXO7,SH2D1B,VMP1,HSPE1,MYL6
62,MRPS21,GPX4,CXCR4,RGS14,EIF3I,LYST,SPINT2,PARVB
63,STAT1,BNIP3L,CXXC5,NDUFS2,NDUFB11,ATP1B3,COPE,GPX4
64,ZFAND1,HMGB2,EEF2,ZAP70,PTGDR,TIMP1,HNRNPA0,CLEC1B
65,RPL34,BLVRA,EEF1B2,CHST12,CHMP2A,COX5A,TUBA1B,NT5C3A
66,LDLRAP1,VIM,TXNIP,RSF1,MRPL20,CSTB,LAP3,TMSB4X
67,SH3BGRL,IL8,HNRNPDL,TIAL1,ZAP70,CKB,RBM39,ARPC5
68,RPL36A,LY86,PPAPDC1B,MYLIP,HSH2D,FGL2,HLA-DQB2,CDKN2D
69,MORF4L1,NFKBIA,RPL8,SP140,CDC42SE1,BLOC1S1,GADD45B,SH3BGRL3
70,RPS27,FCGR1A,MBD4,AC092580.4,SERPINB1,YBX1,COX6A1,ACTN1
71,MT-ND4,CTSB,SYPL1,GPAA1,SF3B5,ZNHIT3,CSTB,RAP1B
72,CCDC109B,VCAN,RPLP2,SSR3,DDX17,CAMK1,LGALS1,LY6G6F
73,POLR3GL,NEAT1,PLAC8,MED10,RAP1B,MYO1G,APEX1,ARF1
74,TNFRSF4,HLA-DMA,RASGRP2,GALM,PGK1,LAMTOR4,RNF130,ARPC1B
75,GIMAP7,PYCARD,RPL22L1,POMP,BIN2,CTSS,CSF2RA,ACTB
76,RPL9,RANBP1,IFT57,FXR1,PSMB8,MRPS16,PPIA,TGFB1
77,TMC6,AP1S2,FAM26F,STOML2,RAMP1,BATF3,SEP15,PYCR2
78,RPS21,SERPINB1,ARHGAP24,CAPZA1,LAMP1,CDKN1C,POMP,DYNLL1
79,SELL,VAMP8,HLA-DOB,RNF145,KLF6,C1QB,MRPL55,MYL9
80,RNF113A,METTL9,EVI2B,LINC00116,PRDX5,NME3,FDFT1,DNAJB6
81,RPL5,ASAH1,SPIB,MT-CO3,RNF213,PLAC8,SNRPD1,RP11-367G6.3
82,CCR7,PLBD1,CD19,MRPS16,PSME2,LYSMD2,PPA1,RHEB
83,TRABD2A,TSPO,TSC22D3,ZFP36L2,KLRF1,ARPC1B,CYC1,HMGB1
84,OCIAD2,NDUFS7,RPS23,RPS24,SDF4,PARVG,SON,F13A1
85,BIRC3,HLA-DRA,RPS21,RNF167,IL2RG,TMEM258,YIF1B,NDUFAF3
86,CRIP2,ITM2B,CD69,GIMAP5,FBXO6,ADRBK1,CCDC88A,FKBP1A
87,TTC39C,AGTRAP,FCRL1,FKBP8,ENSA,IFI30,C1QBP,CD99
88,RGS10,GPSM3,AL928768.3,ZC3HAV1,ARL6IP1,GNAI2,ANXA2,GP1BA
89,PCNP,CHMP1B,CYB561A3,SEC61B,YY1,CALM2,ITM2C,C9orf16
90,RPS10,SLC25A5,RPSAP58,BLOC1S1,ARL4C,HCLS1,SUB1,TUBA1C
91,LSM14A,SERPINA1,YBX1,GHITM,PPP2R5C,TNFRSF1B,RGS10,PKM
92,TPT1,NMI,SEC62,C9orf142,PLEK,MYL6,RPS6KA4,TMEM91
93,STK17B,ODF3B,EIF4A2,ATP5A1,B2M,H2AFZ,HMGN3,VDAC3
94,CD6,CTSD,MZB1,PPP2R5A,HLA-C,LGALS1,WDR61,CHMP6
95,EEF1E1,ZFP36,GLTSCR2,FUS,AOAH,RAB8A,DUSP2,TPM1
96,CCM2,PRDX6,CD72,C9orf16,CD96,PPP1CC,SRGN,SNCA
97,PSMD13,MT-ND1,COQ7,MYO1F,S100B,LSM1,CYCS,USF2
98,BTG1,IFI6,UQCRC2,WTAP,PDIA3,PTPN6,PGLS,PRDX5
99,ARHGAP15,RENBP,NBEAL1,CTSC,SH3GLB1,CEBPB,GABARAP,MAP3K7CL
100,RPL32,CYBA,SWAP70,SSBP4,PSMB10,TPI1,TGFBI,HIST1H2BK
101,RGS1,FOS,RPL10A,FBXL15,EPC1,GNAI3,TMEM219,MTPN
102,RPL35,HNMT,SMARCB1,SMIM7,GCHFR,CAPNS1,RNF5,PPDPF
103,NAP1L1,NEU1,LAT2,NCOR1,PRMT2,NDUFA5,COX6C,MFSD1
104,HSPA8,SCPEP1,SRSF5,CITED2,TPST2,NAPRT1,FCGRT,TLN1
105,DDX5,PFDN5,TMEM243,TMEM14C,HMGB1,MAP3K3,HMGN1,GLA
106,LPAR6,NUP214,RPS5,DBP,RNASEH2C,ADAR,PLSCR1,RAB4A
107,CD7,ALDH2,ORAI2,MRPL55,FAM49B,ARL4A,TRMT112,PLA2G12A
108,ITGA4,EVI2A,GUCD1,CORO1A,FCRL6,ATP5E,CEBPD,PNMA1
109,UBAC2,CLTB,TMEM156,SERINC1,ALOX5AP,RIN3,TYROBP,NENF
110,VPS26B,STX11,RALGPS2,ANXA1,LITAF,TESC,CFP,TALDO1
111,IDH3B,EIF4A1,SCPEP1,DUS3L,RARRES3,GRINA,ATP6V1E1,HIST1H1C
112,RPL14,NEDD8,ATP6V1G1,TMEM248,JAK1,EMP3,DEK,RABGAP1L
113,SLC38A2,EEF1D,RPL18,H3F3B,ZBP1,GIMAP2,ZFP36,SAT1
114,PIM2,CLNS1A,TAF1D,RPL27,RCN2,PILRA,DDAH2,WDR1
115,RASGRP2,EWSR1,CD82,CCND3,TMEM59,ATP5L,ATP5G3,ESAM
116,TRADD,GSTO1,AIM2,HNRNPR,RTF1,ARPC3,MPC2,RAB10
117,NEMF,DHPS,GLG1,TSEN54,VAPA,MRPL23,OS9,CCND3
118,GBP1,PGD,BCAS4,MSI2,VAMP2,GMFG,BST2,ACTG1
119,RPL41,RPS24,ZFP36L1,JAKMIP1,LGALS1,GRPEL1,ADI1,ASAH1
120,CD69,NDUFB11,EHD1,SYNE2,CMC1,UBE2D3,CAPN2,HLA-C
121,MRPS31,CNPY3,CD55,ZBTB8OS,CAST,CTSC,RAB7A,TUBA1B
122,ETHE1,RPL13,RBBP7,C11orf48,ANXA1,PHKG2,RPL23,RSU1
123,EBPL,DYNLT1,RPSA,TMED10,GIMAP7,SNX17,CYTH4,UQCRH
124,CNIH1,OAZ1,ZCCHC7,LAG3,BPGM,S100A11,CCDC50,SCGB1C1
125,EIF4G2,BRI3,TCF4,OTUB1,PYHIN1,EVL,MS4A6A,TRAPPC1
126,JUN,APRT,PLEKHF2,FDPS,PPIA,CD52,DCXR,GAS2L1
127,USP33,C20orf24,S1PR4,AP3S1,MAD2L2,TCIRG1,FOSB,RNF11
128,VPS29,BAG1,EIF3J,LCMT1,MAF1,ANXA5,PSMB5,RP11-879F14.2
129,ARHGAP30,RPL32,COX4I1,RAN,LAT2,SPI1,NDRG2,PRUNE
130,PRKCQ-AS1,RBP7,TPD52,CLTB,EIF3G,FMNL1,HNRNPA2B1,SKP1
131,LIMS1,TPT1,MT-CO2,PTPMT1,ARL2BP,RNH1,TCF25,EOGT
132,SKP1,IFNGR1,C15orf57,BAX,RTFDC1,C19orf53,LCP1,RAB37
133,EIF3H,EIF4EBP1,TUFM,RNASEH2B,MYL12A,NEAT1,IFI44L,SRGN
134,MT-ND2,LY6E,CCNI,ANP32A,CIB1,POLD4,COA5,SNX3
135,PPP2R3C,STRA13,BLNK,MRP63,TMX2,SRGN,MRPL23,RBX1
136,RPL39,CARS2,SYNGR2,CERK,HLA-B,CUX1,UFC1,HIST1H2BJ
137,RPS6,SPINT2,CLIC1,TBC1D10C,PSMA7,GUK1,ATP5A1,WBP2
138,EIF4B,SMCO4,MRPL40,CDC123,CD69,FGR,MAFG,SNN
139,MATR3,NRG1,SMDT1,RER1,LINC00493,GABARAP,CDKN1A,TMEM219
140,RPL13A,LINC00936,JUNB,ARPC4,HLA-A,RASSF5,IRF7,PTGS1
141,TRAPPC1,GSTK1,RP5-887A10.1,FBXO8,HSP90AA1,GPS1,CCT4,SLC40A1
142,RPL21,AUP1,GDI2,HNRNPH1,ATP6AP2,EIF3G,C9orf142,TPST2
143,ACTG1,C19orf43,BIRC3,IQGAP1,SRSF4,ICAM2,REL,ARHGDIB
144,RPS13,CALCOCO2,EIF5B,EIF2S1,MYL6,PRR13,MRPL11,TUBB4B
145,RPS26,TBXAS1,CYB5A,TOR1A,SUN2,SH2D3C,ATP5J2,TUBA8
146,RPL35A,CLEC7A,ARL4A,THAP7,SCP2,ATP5EP2,TMEM55B,SOD2
147,HSF1,H3F3B,NOTCH2NL,GYG1,SLC25A3,LSP1,MCL1,LMNA
148,TPM3,MARCO,LIMD2,EEF1B2,HNRNPM,MMP24-AS1,VAMP8,AATK
149,RAB5C,NDUFB8-1,ZNF92,ZNF131,CD38,PANK2,IGFLR1,ERV3-1
150,PCBP1,FCGRT,LCN8,CD3G,CHMP5,CASP4,POP7,LDLRAP1
151,FXYD5,HLA-DMB,POU2F2,APBB1IP,ARRDC2,OAZ1,NDUFS3,GNAS
152,LSM2,DUSP6,ANAPC16,GIMAP4,CCDC28B,CDIP1,HERPUD1,HLA-E
153,THOC6,SEC61A1,ARL6IP1,C15orf57,DRG1,LAMTOR5,HINT1,GAPDH
154,RPL11,PRAM1,TLR10,ECH1,ICAM2,SLC7A7,UBL7,CCDC85B
155,ISCU,RABAC1,ADK,RPL22L1,CTDSP1,PDCD5,SEC61B,SERF2
156,RPL3,TOMM7,NAP1L1,MAP2K2,CD53,C7orf73,AURKAIP1,NFE2
157,COX20,COA6,LTA4H,G6PD,CD244,ARHGDIB,TNFAIP2,CTNNAL1
158,RPS5,SLC11A1,LSM7,TMBIM6,CD97,NDUFA1,CD302,HGD
159,EWSR1,IL17RA,RPL12,ACTR3,TARDBP,UBE2L6,SPCS1,ABCC3
160,DNAJB1,NDUFB1,NHP2L1,TMA7,PLEKHF1,COX5B,SCNM1,AGPAT1
161,CYLD,PNRC1,DCK,ATP5E,HLA-E,GDI2,C12orf45,ATF4
162,CD44,QPCT,C16orf74,ATP6V0B,CCDC12,PDCD2,SPATS2L,DAD1
163,CARS,LAMTOR1,SP140,TMEM242,LSM4,DAP3,BID,PAIP2
164,SAMSN1,ZFP36L2,HLA-F,TECR,RAC1,SIGLEC10,SSB,DMTN
165,MRPL18,ZNF106,TNFRSF13B,CTBS,ORMDL3,G0S2,MAP3K11,TMEM140
166,YDJC,CFP,ATF6B,HNRNPK,UBE2F,CMTM6,SRSF2,CYB5R1
167,LY6E,ATP5D,SPCS2,CDC37,STX10,EIF1B,MAP7D1,FXYD5
168,FLT3LG,TMEM14C,SP100,TC2N,PTPN7,ENY2,C16orf13,ETFA
169,RBBP6,SRRM1,PRKCB,PLIN2,ADSS,LY6E,NHP2,C6orf25
170,LYPLA2,CCNI,GNB2L1,ERGIC3,ATF6B,PGLS,COX5B,GNB5
171,RPS18,HCST,LINC00936,MID1IP1,TXK,MGST3,TMED10,EFTUD2
172,GALT,GGCT,TNFRSF17,RORA,SEC62,C10orf54,LY86,ATP2A3
173,RABAC1,TREX1,LYL1,NDUFB3,LPCAT1,CHPT1,TPP1,SNAP23
174,UBA52,UBXN4,BTG1,CYTIP,SQSTM1,HSP90AA1,HEBP2,RBBP6
175,SSBP1,NHP2L1,LBH,PUF60,HCLS1,TXNIP,BHLHE40,MOB1A
176,TDP1,PYURF,CMPK1,TSNAX,PYURF,SLC39A1,VPS29,TPM3
177,LINC00176,CD36,ENSA,CDKN1B,COPE,ISG15,BAZ1A,ICAM2
178,TCP1,CTSH,GPR18,PRR5,CCND3,NPC2,CXCR4,ADIPOR1
179,ATG12,POLR1D,RPL9,IER3IP1-1,SDHAF2,NAAA,PQBP1,SENCR
180,CNOT7,HMOX1,ANXA6,SLBP,TMIGD2,BRI3,URM1,VAPA
181,RPL13,SLC7A7,RP1-313I6.12,RASSF7,NT5C,MBD2,UQCRH,C9orf89
182,CNBP,THEMIS2,TSPAN3,AP2S1,FLOT1,EIF2S2,EIF3E,RAB11A
183,TRAF3IP3,YWHAE,BBX,EIF4A2,EMP3,FBXW5,SNRNP27,MZB1
184,MYO1G,RNF130,HNRNPA2B1,ZNRD1,C1orf21,CDA,FCER1G,EPB41
185,PRDX2,RILPL2,RPL17,PRDX1,DCTN3,NDUFA12,CACNA2D3,SMOX
186,TRPV2,SF3B14,RCSD1,MRPS36,CX3CR1,NACA,DNAJC15,MT-ND1
187,CCDC66,FAM204A,EZR,CHCHD7,S1PR5,TPGS1,CFDP1,FTH1
188,FKBP5,COX14,RPS8,KIAA0196,CMTM3,HAGH,OSTC,HSPB1
189,PMVK,NR4A1,NSA2,NT5DC1,NOC2L,PYCARD,ZNF385A,DBNL
190,COX7B,COX7A2L,YBX3,DUSP23,ZNF207,LILRA5,APH1A,FTL
191,GSTK1,RPL11,SEPT7,HLA-DPB1,BZW1,NFKBIZ,PITHD1,BRK1
192,DGKA,TMSB10,STRBP,MAN1B1,GOLGA7,ZNF593,XAF1,H1F0
193,ITGB1,MRPL32,TOMM7,HLA-F,SCRN2,LAIR1,NDUFA8,RNF10
194,COMMD6,FXYD6,AC079767.4,NUDC,SRRM2,FAM49A,C19orf70,UBL4A
195,RPS27A,SELT,RPL15,TLE4,IFITM1,DUSP23,EIF3H,GMPR
196,RPL27A,DUSP1,PABPC4,MX2,PNRC1,LSM6,FAM133B,LGALSL
197,C6orf48,C1QBP,LSM10,UROD,BSG,ARPC1A,PPP1R14A,GFI1B
198,PHF1,FOSB,IL4R,RSL24D1,PATL2,IDH2,SYK,FHOD1
199,TRMT112,KRCC1,MDH1,ATP5I,ABI1,VASP,LMO2,THAP11
200,NAP1L4,ARPC2,STK17A,BSG,MAP2K3,SOD2,PTPRE,HTATIP2
201,PHF5A,FAM50A,ZNF331,RPL36A,SNF8,VAMP2,ARF3,ABTB1
202,LMNA,FIBP,NACA,RPL18A,ARHGEF3,SFT2D1,IRF8,UBL5
203,TMSB4X,POLR2J,RPL37A,TALDO1,RBM39,CD53,C21orf2,HLA-A
204,TCF7,PSMD9,CD53,ADRB2,POLR3GL,WDR1,HEXA,LYL1
205,ARHGEF1,RPL6,FCRL2,VPS4B,SLFN12L,SHISA5,DRAP1,MTFR1L
206,RPS19,CEBPB,HHEX,STRAP,GMFG,IRF2,EID1,RBCK1
207,NDUFS5,UBA52,SMAP2,CNPY3,IFNG,MRPS26,CHMP5,FAM212A
208,RP11-796E2.4,IQGAP1,NT5C,RPL4,OSTF1,PRELID1,LILRA4,PTBP1
209,MRPL1,RAB34,SNX10,GPR171,DERL1,C7orf50,CTA-29F11.1,NDNL2
210,LEF1,ATP5H,KMT2A,MRPL9,SHARPIN,LTB,HSH2D,XPNPEP1
211,STXBP3,CTD-2035E11.3,REL,ERP44,PSMA6,MOB1A,STK32C,SPOCD1
212,EEF1A1,SRSF9,RPL7A,UBQLN1,ITGB7,MAFB,NDUFS6,SF3A1
213,LAT,DOK2,KIAA0125,CLEC2D,PLEKHJ1,RXRA,GZMB,SMIM5
214,PQLC3,PSMA5,VAPA,CD47,WBP2,NDUFV2,SNRPE,SEC14L5
215,PDIA3,JUND,RABAC1,RPLP0,TBCB,PIK3IP1,RPS6KA1,CTDSPL
216,NELL2,FAU,FAU,MRPL51,SERBP1,KARS,DNAJC4,RHOA
217,HARS,WDR83OS,RPS18,NDUFA5,CTNNBIP1,TAPBPL,SUMO3,CAPZB
218,PRPF40A,FYB,ARID5B,PPP1R15A,LMAN2,EIF5AL1,COX8A,SUPT4H1
219,BPGM,CCDC23,RPS16,RPL17,ICAM3,EIF4G2,REPIN1,CARHSP1
220,ICAM3,FCGR2A,RPL29,KDM2A,YTHDF2,MAPK1,C10orf128,DIAPH1
221,UFD1L,NDUFB7,FIS1,SF3B14,FAM65B,RGS19,ADRM1,C16orf13
222,TFG,PID1,RNASEH2B,DNAJC7,MTDH,PNISR,C14orf2,STX11
223,LYRM5,SIRPA,RIC3,RAB9A,WAS,RBX1,CD86,NDUFA4
224,OLA1,XRN2,RPL5,COX7A2,PPP1R18,COPS6,LAMTOR2,COTL1
225,IFITM1,C14orf166,SNX29P2,KLF6,HMGN1,EIF1,RNF181,PACSIN2
226,C1D,HNRNPA1,COMMD6,ANAPC15,RALY,GPBAR1,PHB,LYPLAL1
227,RGL4,PEPD,DDX39A,LARS,C19orf66,SULT1A1,SAMHD1,H2AFZ
228,NUP210,APOBEC3B,GRAP,HADHA,KIAA1715,EFHD2,IL13RA1,GLUL
229,AMD1,RPS16,CHCHD10,RP5-1028K7.2,DBNL,IRF9,NDUFA10,EXOSC7
230,KDM6B,NDUFA11,CTSH,NSG1,SEPW1,FKBP8,ATG3,P4HB
231,DCXR,PLCB2,TMEM154,HMOX2,SASH3,SELPLG,TMEM109,C19orf24
232,SCGB3A1,NAA10,FAM129C,POLR3C,ERBB2IP,NCL,RP11-489E7.4,CD27-AS1
233,PTGER4,GNB2L1,C11orf31,GPX4,LCP1,TXN2,CD1D,SPINT2
234,TPP2,MSRB1,ITM2C,ROCK1,SEPT7,SLC25A3,BLVRB,CD151
235,TCEAL8,COA3,PSMB8,DAD1,PSMD9,SPAG7,OXA1L,RIOK3
236,DRAP1,COMMD7,FCGR2B,STXBP2,DDIT4,TPM3,ERCC1,SH3BGRL
237,SUGT1,NOSIP,HSP90AB1,ITSN2,RER1,TUBB,FCHO1,WBSCR22
238,CREM,RPL41,MRPS18A,CLIC1,PTPN6,CYSTM1,HLA-DOA,PSTPIP2
239,PRMT10,PLIN3,ITSN2,PFN1,EIF5,UNC119,IL6R,TMPO
240,KIAA0922,MRP63,ATP6V0B,RPSA,SRPR,HLA-B,CD164,FAM212B
241,RPS4Y1,MZT2B,SIGLEC10,RPS27A,SH2D1A,ATP5B,TMEM205,FAM110A
242,THYN1,PSMA1,SERINC1,NDUFB8-1,GLRX,DOK3,PLK3,HIST2H2BE
243,EMC4,C6orf48,EIF3F,SERGEF,EVL,C4orf3,LGMN,CCNDBP1
244,CRLF3,POLR2L,CD180,CMPK1,INPP5D,ARRDC1,RASSF4,PTMA
245,STK10,CD2BP2,RRAS2,SEPT7,ELAVL1,NCBP2,ACYP2,RASGRP2
246,CYCS,CD48,CSDE1,USP8,MRPS6,HSBP1,PRCP,EIF1B
247,RPS4X,CXCL10,ARL2BP,KMT2E-AS1,IQGAP2,ARL6IP5,ZBTB7A,UBAC2
248,FIP1L1,PKN2,RPLP0,SUN2,COX5A,ISCU,C19orf10,LINC00938
249,TRAPPC6A,PIEZO1,TCEA1,SYNE1,LYN,RNF213,BLNK,MAPK14
250,CD2,IRF5,IFNGR2,RBM3,ARHGDIB,NUDT16,TRIM22,MBNL1-AS1
251,ERICH1,SOCS3,RNASE6,FAM200B,UNC50,GIT2,PDCD6,TUBB
252,DHX29,PSMA7,MAP1LC3B,LCP1,TADA3,IK,H2AFV,ENKUR
253,SMIM11,RNASE6,ALOX5,SIT1,PSMC4,MYOF,MTCH1,SNX6
254,CPQ,GLUL,CCDC50,UBE3A,IFT20,AC010642.1,IMPA2,ADI1
255,PRKCA,RNF114,TAPBP,RAB18,DEF6,ACP1,EPSTI1,GALNT10
256,TANK,CBX3,EIF5A,HNRNPC,NDUFAB1,FAM110A,ZNHIT1,MMP24-AS1
257,UBXN4,DHRS4,ARPC3,BCAP31,ARPC3,S100A4,MAGEF1,C4orf3
258,PNN,PARP14,GID8,SHFM1,DPM2,HLA-DRB1,ATP5C1,TPTEP1
259,MARCKSL1,RPL13A,SRP14,SH2D2A,SPPL2A,RAB5C,PPP1R14B,DAB2
260,ACTN4,SUMO1,NCL,RPN2,WDR83OS,TOX4,LINC00493,PVALB
261,PITPNC1,ENTPD1,TBC1D22A,DPP4,SYF2,MIIP,C17orf49,RAB32
262,TINF2,STX12,JUN,MKRN1,GYPC,HSH2D,SH3BP2,GTF3C6
263,CTBP1,RWDD1,ZFAND6,NONO,LSM1,ADI1,BZW2,ZNF524
264,ASF1A,RPL15,ELOVL5,MRPL32,CNPY2,OST4,PPP2R3C,TAX1BP3
265,ORC4,CLEC4E,FAM96A,SMAD2,JTB,AP2A1,NUP210,MPC2
266,RNF44,TCEB2,DEGS1,WDR83,CIAPIN1,LPCAT1,ACTG1,VASP
267,RPS15,SUPT4H1,FLI1,CSRP1,PHF20L1,MRPS18C,RAC1,TMEM50A
268,CALM1,FAM200B,BLOC1S2,SLA,LPIN2,ETFB,RAB22A,TMEM261
269,SUV420H1,TMEM173,DRAM2,SNRPA,CHCHD2,DERL1,TRAPPC1,GATA2
270,RPL18,DNAJC7,MIS18BP1,JAGN1,ZNF32,CCM2,DNASE1L3,MKRN1
271,PSMA3,ERI3,TAGAP,SLC3A2,STAT6,RP11-362F19.1,UPK3A,MLH3
272,ATP6V0E2,GABARAPL2,PRMT1,GIMAP1,DYNLL1,EPOR,FUOM,TNNC2
273,TAGAP,SMARCD3,RTCB,RASSF1,TMEM223,ARAP1,C6orf1,C7orf49
274,FBXL12,BRK1,PWP1,ECHS1,PPP1R12A,RHOB,MX1,SQSTM1
275,MED28,SGK1,OAZ1,AHNAK,APOBR,TOLLIP,MTPN,AC078883.3
276,EIF3F,TRAPPC6A,RPL37,EMC8,ITGB1BP1,C9orf78,SNRPD2,FAXDC2
277,SPG20,UQCRC1,HERPUD1,CFL1,MAP1LC3B,PCGF5,UBALD2,AMD1
278,TBRG1,SNORD3B-1,HOOK2,MPHOSPH10,ELOVL1,FDX1,LARP7,SPRYD4
279,NDUFA1,OAZ2,CTC-228N24.3,N4BP2L2,TMEM243,STAT2,PRDX3,SCFD2
280,H2AFZ,RPLP1,HIGD2A,MZT2B,PDLIM2,ATG4B,HAVCR2,NDUFB9
281,RPL23,AP2S1,SMAGP,PTPN22,MSN,MT-ND5,NDUFV2,THYN1
282,HSPB1,FBXL5,RPS3A,ZNF428,IRF9,RBMS1,CLEC4C,UPF3A
283,MBNL1,CLEC12A,SHMT2,RPS2,PSMA5,MYEOV2,PLP2,KIAA0513
