,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
71,YWHAZ,NDUFS7,RPL22L1,NDUFB3,BZW1,PTPN6,LGALS1,LY6G6F
72,RPL35,BST1,SYPL1,CERK,EPC1,TMEM258,CSTB,ARPC1B
73,RPL14,FCGR1A,EVI2B,MYO1F,CDC42SE1,MRPS16,APEX1,RAP1B
74,RP11-291B21.2,TSPO,PPAPDC1B,SMIM7,GCHFR,LAMTOR4,RNF130,ARF1
75,PRPF19,VCAN,HLA-DOB,BSG,EIF3I,VMP1,CSF2RA,ACTB
76,TTC39C,GPSM3,ARHGAP24,TC2N,PSMB10,ADA,SEP15,TGFB1
77,PIM2,SERPINB1,TXNIP,SNRPA,KLF6,COX5A,PPIA,DNAJB6
78,ARHGDIB,CTSD,RASGRP2,TRAT1,HSH2D,CTSS,POMP,MYL9
79,CYLD,ITM2B,IFT57,MRPS16,LCP1,CSTB,FDFT1,PYCR2
80,RGL4,HMGB2,FAM26F,NDUFA5,PPP2R5C,NME3,MRPL55,RP11-367G6.3
81,TRAPPC1,PLBD1,SPIB,FXR1,IL2RG,C1QB,CYC1,DYNLL1
82,SH3BP5,VIM,RPS21,MGST3,ARL4C,ATP5L,SON,HMGB1
83,ABRACL,IL8,CD69,HLA-A,ALOX5AP,YBX1,ANXA2,F13A1
84,LAT,HLA-DRA,RPS23,SERINC1,MAP2K3,FGL2,SNRPD1,RHEB
85,SPCS1,RANBP1,CD19,RPL17,JAK1,LSM1,SUB1,NDUFAF3
86,MPHOSPH8,GSTO1,YBX1,CITED2,RAMP1,UBE2D3,C1QBP,FKBP1A
87,TMC6,STX11,TSC22D3,ZAP70,MYL12A,GNAI3,PPA1,CD99
88,HSPA8,SLC25A5,AL928768.3,YWHAB,CCDC28B,NAPRT1,CCDC88A,GP1BA
89,TNFRSF4,CNPY3,FCRL1,TOR1A,HMGB1,ARPC1B,YIF1B,PKM
90,MT-ND4,NDUFB8-1,CYB561A3,ZFP36L2,PLEKHF1,MRPL23,ITM2C,C9orf16
91,CORO1B,SCPEP1,GLTSCR2,NUDC,PTPN7,LGALS1,RGS10,TUBA1C
92,VPS26B,CALCOCO2,MZB1,ZNRD1,S100B,EVL,RPS6KA4,TMEM91
93,JUN,EIF4A1,UQCRC2,CNPY3,TMEM160,WARS,WDR61,TPM1
94,U2AF1,GPX4,SEC62,TMCO1,PRMT2,ADAR,GABARAP,CHMP6
95,RPL32,DYNLT1,COQ7,CORO1A,HLA-E,GRINA,HMGN3,USF2
96,BTG1,HLA-DMA,RPSAP58,STXBP2,PPP1R18,RIN3,CYCS,VDAC3
97,NDUFC2,PFDN5,CD72,NCOR1,GSTP1,COX5B,TGFBI,MAP3K7CL
98,RPS21,AGTRAP,EIF4A2,TIAL1,SDF4,NDUFA5,COX6C,PRDX5
99,CD69,STRA13,SWAP70,C9orf16,HLA-A,RNH1,SRGN,SNCA
100,PPDPF,CHMP1B,SMARCB1,RPL4,B2M,PRR13,DUSP2,HIST1H2BK
101,OCIAD2,FOS,NBEAL1,MRP63,YY1,MAP3K3,TMEM219,MTPN
102,KIAA1551,MT-ND1,TMEM243,CD3E,RAC1,CEBPB,RNF5,MFSD1
103,RPL5,NMI,GUCD1,APBB1IP,ANAPC16,S100A11,PGLS,NENF
104,RPS26,NDUFB1,RPS5,TOMM7,HLA-C,GIMAP2,TRMT112,GLA
105,ANP32B,RPS24,LAT2,SNRPB,KLRF1,C19orf53,PLSCR1,PPDPF
106,RPS10,RENBP,SRSF5,MAP2K2,CD96,LYSMD2,FCGRT,PLA2G12A
107,MED28,ZFP36,RPL10A,ERGIC3,ZBP1,MYL6,CFP,RAB4A
108,RPS15,HNMT,SCPEP1,HLA-F,HLA-B,BATF3,HMGN1,PNMA1
109,ITGA4,SERPINA1,TMEM156,RPS24,MRPL20,PARVG,ATP6V1E1,TLN1
110,NAP1L4,CYBA,RALGPS2,PRDX1,UBE2F,H2AFZ,DEK,TALDO1
111,BIRC3,CLEC7A,TAF1D,ARPC5L,SF3B5,CALM2,CEBPD,SAT1
112,PPP1CA,NEDD8,GLG1,SYNE1,LSM4,RAB8A,OS9,HIST1H1C
113,NEMF,PRDX6,ORAI2,RAB8A,SH3GLB1,SRGN,TYROBP,ESAM
114,FXYD5,ODF3B,RPL18,JAKMIP1,RBM39,FMNL1,BST2,RAB10
115,HMGN1,IFI6,CD82,RAP1B,ATP6AP2,TCIRG1,ZFP36,CCND3
116,RPL35A,VAMP8,ZFP36L1,LAG3,SUMO2,MYO1G,DDAH2,WDR1
117,IGBP1,EEF1D,EHD1,MYLIP,C1orf21,ICAM2,ADI1,RABGAP1L
118,PRKCQ-AS1,GGCT,AIM2,CUTA,FLOT1,PGLS,ATP5G3,ASAH1
119,RPS6,NEU1,BCAS4,RSU1,LITAF,GRPEL1,MPC2,TUBA1B
120,RPS5,RPL32,ZCCHC7,DNAJC7,OSTF1,RASSF5,CAPN2,ACTG1
121,PPP2R3C,EVI2A,RPSA,KTN1,ARPC3,PHKG2,MS4A6A,RSU1
122,RPL21,BRI3,S1PR4,TALDO1,HNRNPA3,ADRBK1,RAB7A,HLA-C
123,DARS,PNRC1,PLEKHF2,ECHS1,DCTN3,PPP1CC,RPL23,RNF11
124,ACTG1,RPL13,ATP6V1G1,TMBIM6,ANXA1,LAMTOR5,CYTH4,TRAPPC1
125,ATP1A1,TOMM7,COX4I1,SYNE2,PYHIN1,PILRA,CCDC50,RP11-879F14.2
126,ITGB1,TPT1,C15orf57,PPP2R5A,ARL2BP,EMP3,PSMB5,UQCRH
127,LPAR6,OAZ1,TCF4,COX7A2,CAST,NDUFA1,NDRG2,GAS2L1
128,RPL3,LY6E,RBBP7,ANXA1,PSMA6,ARPC3,LCP1,SCGB1C1
129,C1orf162,DHPS,TPD52,IER3IP1-1,SQSTM1,GPS1,HNRNPA2B1,PRUNE
130,EEF1E1,RILPL2,CCNI,CDC37,PPIA,TPI1,DCXR,SKP1
131,CHURC1,C20orf24,EIF3J,TEX264,VAMP2,TESC,UFC1,EOGT
132,TXK,ZNF106,CD55,ARPC4,RUNX3,IFI30,COA5,SNX3
133,TCEAL8,CLNS1A,BLNK,STX18,SERBP1,CAPNS1,MRPL23,HIST1H2BJ
134,FLT3LG,ATP5D,LIMD2,ADRM1,CLIC1,POLD4,ATP5A1,SRGN
135,MATR3,ALDH2,SYNGR2,OST4,IFITM1,SPI1,MAFG,RAB37
136,UBXN4,EWSR1,JUNB,TSEN54,DEF6,CDA,TCF25,RBX1
137,POLR3GL,RBP7,TUFM,GYG1,ITGB7,GMFG,MRPL11,PTGS1
138,EBPL,ZFP36L2,POU2F2,CKLF,RAP1B,CD52,FOSB,TMEM219
139,RPL27A,CLTB,CLIC1,MED10,SEPW1,ATP5E,REL,WBP2
140,LSM14A,PGD,RP5-887A10.1,RAP1A,DDX17,PDCD5,CDKN1A,SNN
141,COQ10B,CARS2,NOTCH2NL,VAMP5,DERL1,PDCD2,IFI44L,SLC40A1
142,MRPS21,FCGRT,MRPL40,RNF145,CTDSP1,SH2D3C,CCT4,TPST2
143,EMC4,YWHAE,LCN8,DUSP23,SEPT7,PANK2,IRF7,TUBA8
144,DDX5,GSTK1,BIRC3,RPL27,LAT2,GABARAP,VAMP8,SOD2
145,STAT1,NUP214,ANAPC16,C10orf54,LAMP1,ARL4A,ATP5J2,ARHGDIB
146,LIMS1,FOSB,EIF5B,CAPZB,LYN,GUK1,TMEM55B,TUBB4B
147,ANXA11,POLR2J,SMDT1,ITSN2,PDIA3,CDIP1,C9orf142,LMNA
148,RPL13A,IFNGR1,RPL12,TMEM248,MAD2L2,DAP3,SEC61B,ERV3-1
149,TBC1D4,CFP,LSM7,BTN3A2,RCN2,RGS19,IGFLR1,AATK
150,ZFAND1,NRG1,ARL6IP1,DCAF11,EIF3G,OAZ1,HERPUD1,LDLRAP1
151,TRAF3IP3,ATP5H,MT-CO2,MRPL55,RTF1,VAMP2,UBL7,SERF2
152,GLOD4,BAG1,GDI2,MRPL32,TRABD,NDUFA12,POP7,HLA-E
153,SUCLG1,C1QBP,ZNF92,RBM25,ENSA,MGST3,MCL1,GAPDH
154,SH3BGRL,CCNI,TLR10,TMA7,C19orf66,SOD2,TNFAIP2,CCDC85B
155,USP33,NDUFB11,HLA-F,RPA3,TMC6,PRELID1,HINT1,GNAS
156,RPS4Y1,MARCO,SPCS2,ADSL,BIN2,RBX1,CD302,CTNNAL1
157,TPT1,THEMIS2,ENSA,NPM1,SLC25A3,MAFB,NDUFS3,HGD
158,PRKCA,SEC61A1,NHP2L1,GIMAP4,PSMD9,NFKBIZ,SPCS1,DMTN
159,EEF1A1,C19orf43,CYB5A,BAX,CD244,ANXA5,AURKAIP1,PAIP2
160,PRPF40A,SPINT2,ADK,TMEM14C,WAS,SNX17,SSB,NFE2
161,CGGBP1,NHP2L1,ARL4A,SNRPA1,CD38,CHPT1,SCNM1,TMEM140
162,THOC6,FAM50A,ATF6B,TAF7,CYB5B,LSM6,SPATS2L,AGPAT1
163,LINC00176,SLC7A7,PRKCB,NDUFB8-1,LPCAT1,MOB1A,BID,ABCC3
164,APH1A,SMCO4,LTA4H,ATG2A,MRPL23,ARPC1A,C12orf45,ETFA
165,H2AFZ,H3F3B,ANXA6,ZC3HAV1,ARHGDIA,WDR1,TMED10,ATF4
166,FKBP5,COA6,GNB2L1,XRCC5,MBP,ATP5EP2,MAP7D1,CYB5R1
167,SAMSN1,PRAM1,TNFRSF13B,ARL14EP,COPZ1,FAM49A,MAP3K11,GNB5
168,HSF1,COX7A2L,C16orf74,SEC61B,TARDBP,FBXW5,COX5B,TPM3
169,TCF7,XRN2,NAP1L1,IQGAP1,TSSC4,MBD2,C16orf13,C6orf25
170,TADA3,EIF4EBP1,HNRNPA2B1,EIF2S1,DRG1,NDUFV2,NHP2,SNAP23
171,SBDS,IL17RA,SP140,SEPT7,CMC1,EIF3G,SRSF2,DAD1
172,CCDC66,QPCT,RCSD1,S1PR4,LRCH4,NEAT1,TPP1,ATP2A3
173,GALT,TBXAS1,SP100,CTBS,CCDC12,LAIR1,LY86,EFTUD2
174,RAB5C,RABAC1,TNFRSF17,RPS27A,RTFDC1,NACA,BHLHE40,MOB1A
175,UBE2E3,AUP1,BTG1,GADD45GIP1,FNBP1,CUX1,CXCR4,ADIPOR1
176,ARHGAP15,SRSF9,DCK,MT-CO3,DDIT4,TPGS1,VPS29,C9orf89
177,ATP6V0E2,DUSP6,BBX,TMED10,ADSS,EIF4G2,HEBP2,RBBP6
178,PMVK,FYB,CD53,GPR171,ICAM3,DUSP23,DNAJC15,FXYD5
179,RBM39,APRT,TSPAN3,PFN1,NCR3,FKBP8,PQBP1,SENCR
180,TFG,DUSP1,RPL17,SFT2D1,SH2D2A,GPBAR1,FCER1G,VAPA
181,DGKA,NDUFA11,RPL9,CD53,SRSF4,SLC7A7,URM1,ICAM2
182,CD6,MRP63,LYL1,RSF1,PGK1,PNISR,CFDP1,MZB1
183,TCEB2,HLA-DMB,RP1-313I6.12,TMEM259,TXK,ZNF593,BAZ1A,EPB41
184,SCML4,TMEM14C,RPL37A,PEBP1,PSME2,LSP1,EIF3H,SMOX
185,RPS27A,NDUFB7,NT5C,C9orf142,TMEM59,LY6E,CACNA2D3,RAB11A
186,NELL2,MRPL32,LINC00936,TBC1D1,TBCB,KARS,OSTC,FTH1
187,RNF6,UBXN4,GPR18,CD160,ARRDC2,MRPS26,C19orf70,HSPB1
188,XRCC6,CLEC12A,CMPK1,RBM3,EMC3,RXRA,ZNF385A,MT-ND1
189,FOS,SRRM1,RPS8,RER1,GYPC,IRF2,PITHD1,H1F0
190,SEPT1,RPS16,LBH,MX2,RNF213,TXNIP,APH1A,DBNL
191,USP10,SLC11A1,IL4R,PDAP1,TMX2,SFT2D1,EIF3E,FTL
192,HNRNPA2B1,GLUL,VAPA,PRR5,SNF8,HSP90AA1,SNRNP27,BRK1
193,VPS29,FXYD6,NSA2,KPNB1,LMAN2,C10orf54,UQCRH,RNF10
194,HELZ,PYURF,NACA,SRP19,RWDD1,ARHGDIB,XAF1,UBL4A
195,RGS1,CD36,SNX10,FAM96B,STX10,NCL,FAM133B,GMPR
196,SLC38A2,RWDD1,ZNF331,ZBTB8OS,SCRN2,ISG15,NDUFA8,LGALSL
197,C17orf89,LINC00936,RPL15,PRNP,CIB1,C7orf73,SYK,UBL5
198,RNF113A,PPT1,MDH1,GALM,MAP1LC3B,TYMP,LMO2,GFI1B
199,RPL39,KRCC1,STRBP,SHFM1,WDR83OS,UNC119,PPP1R14A,FHOD1
200,TMSB4X,RPL11,YBX3,MRPL28,ARHGEF3,RNF213,PTPRE,THAP11
201,LSM2,GABARAPL2,EZR,LINC00116,ARL6IP1,BRI3,ARF3,MTFR1L
202,RPL23A,ARPC2,AC079767.4,FUS,FBXO6,RAB5C,C21orf2,LYL1
203,CNIH1,TREX1,SEPT7,SNRPF,PSMB8,PIK3IP1,IRF8,XPNPEP1
204,CRIP2,FAU,FCRL2,RAB11A,SEC62,FAM110A,DRAP1,HTATIP2
205,APBA2,COX14,KIAA0125,SET,CD97,LILRA5,NDUFS6,SPOCD1
206,BAG1,FAM204A,SMAP2,SNHG8,COMMD7,TAPBPL,CHMP5,FAM212A
207,TRAPPC6A,POLR2L,LSM10,POLR2K,EIF4A2,C11orf31,GZMB,NDUFA4
208,CD2,CEBPB,PABPC4,CLTB,FAM65B,FGR,HEXA,RHOA
209,PABPC1,TMSB10,FIS1,VCP,CCND3,GDI2,LILRA4,ABTB1
210,RPS15A,SPTLC2,TOMM7,CYB5A,PDCD6,PSMB8,EID1,HLA-A
211,STXBP3,SCCPDH,HHEX,HNRNPH1,SRRM2,EIF5AL1,CTA-29F11.1,RBCK1
212,LYPLA2,BUD31,RNASEH2B,P4HB,GOLGA7,MAPK1,ADRM1,SEC14L5
213,ETHE1,HNRNPA1,KMT2A,LDHA,POP5,TXN2,COX8A,NDNL2
214,THRAP3,RPL41,REL,ANP32A,TMIGD2,UBE2L6,RPS6KA1,CTDSPL
215,TAGAP,G0S2,FAU,EIF4A2,UCP2,RPL36AL,SNRPE,SF3A1
216,EPSTI1,NR4A1,STK17A,REST,MOB4,VASP,STK32C,SMIM5
217,LEF1,EMC7,RPL7A,NDUFS2,SLC9A3R1,SIGLEC10,SUMO3,PTBP1
218,RPL11,CXCL2,SNX29P2,UBE2G1,MRPS6,CASP4,HSH2D,STX11
219,SERINC5,CD300E,DDX39A,RAN,MAPK1,S100A4,RNF181,PACSIN2
220,CNOT7,ERP29,ITM2C,KDM2A,PNRC1,MMP24-AS1,REPIN1,C16orf13
221,DBI,CAPG,RPS18,TRNAU1AP,FDPS,NPC2,DNAJC4,SUPT4H1
222,CITED4,RAB34,RIC3,PLEK,CMTM3,SLC25A3,CD1D,CARHSP1
223,LMNA,POLR1D,RPL29,SYTL1,GMFG,ENY2,ATG3,COTL1
224,CMTM8,ATP5J,ARID5B,MAN1B1,EIF6,C9orf78,C10orf128,DIAPH1
225,VPS28,PID1,GRAP,SAT2,GLRX,S100A10,TMEM109,LYPLAL1
226,PSMD13,IQGAP1,ATP6V0B,TBCA,NASP,ACP1,RP11-489E7.4,CAPZB
227,CD7,CTSH,RPS16,AAK1,NDUFB10,IRF9,C19orf10,CD27-AS1
228,DNTTIP2,PSMA7,CSDE1,UBR2,INPP4A,AP2A1,LAMTOR2,SPINT2
229,NUDT16L1,SELT,FAM129C,CD97,SLFN12L,DOK3,NDUFA10,RIOK3
230,RPL13,SF3B14,PSMB8,ADAM8,PLEK,CPPED1,PHB,EXOSC7
231,PSMB10,CTD-2035E11.3,RPL5,ZRSR2,DDX39A,LTB,CD86,CD151
232,TDP1,HMOX1,ARPC3,BLOC1S1,NOC2L,EIF2S2,SAMHD1,GLUL
233,ATAD1,RAB24,CHCHD10,MRFAP1L1,IFNG,UFC1,ERCC1,P4HB
234,MAEA,SIRPA,SIGLEC10,LETMD1,ITGAM,MYEOV2,IL13RA1,H2AFZ
235,GBP1,OAZ2,SERINC1,OCIAD1,BNIP2,ARPC4,C14orf2,UBAC2
236,PTGER4,FIBP,TMEM154,SLA,ERBB2IP,ETFB,OXA1L,FAM110A
237,CCM2,LAMTOR1,U2AF1,SSU72,PYURF,IK,IL6R,WBSCR22
238,CDC73,TMEM147,DEGS1,TM9SF3,ADA,GIT2,FCHO1,FAM212B
239,PSMG2,CD93,RRAS2,CHCHD7,ATF6B,IL10RA,ZBTB7A,C19orf24
240,MYO1G,UBA52,C11orf31,SZRD1,WBP2,DCTN3,BLVRB,PTMA
241,UBA52,CCDC23,RNASE6,GHITM,ESYT1,MYOF,MTCH1,TMPO
242,ASF1A,ST13,TCEA1,ST3GAL1,JTB,CCM2,TRIM22,HIST2H2BE
243,RPL36,CXCL10,TBC1D22A,GID8,TADA3,MRPS18C,CD164,PSTPIP2
244,CARS,MLX,CD180,PFDN5,TMBIM6,EIF1B,HLA-DOA,LINC00938
245,PBXIP1,PLCB2,RPLP0,CASP4,MSN,ADI1,LGMN,RASGRP2
246,C6orf48,PSMD9,COMMD6,RNF125,RAN,EIF1,RASSF4,SH3BGRL
247,MRPL18,REEP5,DRAM2,PSMB8,HSP90AA1,CASP1,TMEM205,CCNDBP1
248,RCAN3,NANS,EIF5A,FBXO7,SYF2,PAIP2,PLK3,MAPK14
249,MRPS31,HCST,MRPS18A,TCEB1,CAP1,RP11-362F19.1,IMPA2,MBNL1-AS1
250,EVL,JUND,NCL,CLIC1,IQGAP2,PSMA3,EPSTI1,MMP24-AS1
251,RPS18,RGS2,HMGN1,CTSC,PSMA7,AC010642.1,LINC00493,RAB32
252,C12orf57,COA3,RABAC1,FAM46C,CD164,DERL1,BLNK,GALNT10
253,RP11-1399P15.1,SLTM,CCDC50,RPS19BP1,ZBTB16,TOX4,PRCP,SNX6
254,EIF4B,TSC22D4,TAPBP,ABCF2,ABI1,PYCARD,ACYP2,EIF1B
255,IDH3B,CD48,TAGAP,FAM200B,LY6E,STAT2,MAGEF1,TPTEP1
256,GRAP2,OCIAD1,HSP90AB1,EIF3K,PTPRC,RBMS1,PDCD6,ADI1
257,HINT1,SOCS3,MIS18BP1,SLC20A1,GHITM,TOLLIP,H2AFV,DAB2
258,TINF2,TGFBI,FCGR2B,IL12RB1,PPIB,RAB2A,C17orf49,ENKUR
259,SIT1,RPL6,ZFAND6,CFL1,EAPP,ATP6AP2,FUOM,PVALB
260,SORL1,GNB2L1,CTSH,LCMT1,BPGM,ITGAL,ZNHIT1,MLH3
261,C1D,RPS11,IFNGR2,ENO1,KLF12,LPCAT1,PPIB,GTF3C6
262,HNRNPF,PKN2,ITSN2,SMAD2,LGALS1,CD53,BZW2,TUBB
263,COX20,SMARCD3,BLOC1S2,NAA20,TRIM22,MED10,ACTG1,TAX1BP3
264,HARS,PIEZO1,RTCB,ATP5E,SPTSSB,ACTR3,C6orf1,VASP
265,ACTN4,C11orf73,ARL2BP,H3F3B,SRSF3,PLEKHO1,RAC1,GATA2
266,SELL,BRK1,ALOX5,NUDCD3,NFATC2,CYBB,ATP5C1,MPC2
267,RP11-796E2.4,NAA10,MAP1LC3B,SRI,PSMA5,PTGES3,RAB22A,FAXDC2
268,EDF1,PLIN3,FLI1,SMS,EMP3,ATG4B,SNRPD2,ZNF524
269,POLE3,PEPD,RPL37,WIPI2,YTHDF2,TNFSF10,SH3BP2,SCFD2
270,IFITM1,USP15,CDC40,WTAP,POLR3GL,EPOR,MX1,TMEM261
271,CISH,CLEC4E,ELOVL5,ANXA2R,CHST2,SLC31A2,LARP7,C7orf49
272,AIP,ENTPD1,HOOK2,IFRD1,HNRNPM,CTSC,DNASE1L3,TMEM50A
273,GIMAP4,MSRB1,UBA52,C12orf57,SRPR,SAMM50,MTPN,TNNC2
274,CAMK4,TCEB2,PRMT1,WDR83,MIB2,EMR1,CSDE1,SQSTM1
275,CHMP2A,RPLP1,CTC-228N24.3,CHCHD10,SLC25A5,CD3G,PLP2,AMD1
276,GATA3,CCNL2,SRP14,ULK3,RNASEH2C,C7orf50,TRAPPC1,NDUFB9
277,RBBP6,SDCBP,GPR183,FKBP8,PLEKHJ1,EPSTI1,PSMB10,AC078883.3
278,PCNA,RNF130,EIF3F,BLK,UNC50,HAGH,PRDX3,KIAA0513
279,PRPF8,ERI3,FAM96A,GPAA1,DPM2,HLA-DRB1,UBALD2,C4orf3
280,BIN1,APOBEC3B,RP11-347P5.1,PUF60,MTDH,VBP1,NUP210,SPRYD4
281,KDM6B,SUPT4H1,PWP1,CYTIP,APOA1BP,SLC39A1,UPK3A,THYN1
282,CCZ1,LACTB,SMAGP,MRPL9,GLIPR2,HLA-B,HAVCR2,ALOX12
283,YIPF4,STX12,JUN,RPL7,CIAPIN1,ISCU,PPP1R14B,ARL5A
284,DEDD2,FCGR2A,PEBP1,NT5DC1,INPP5D,MTSS1,CLEC4C,RAB27B
